"Latest: Wavelength (nm)","Latest: Intensity (rel)","Run 1: Wavelength (nm)","Run 1: Intensity (rel)","Run 2: Wavelength (nm)","Run 2: Intensity (rel)","Run 3: Wavelength (nm)","Run 3: Intensity (rel)","Run 4: Wavelength (nm)","Run 4: Intensity (rel)","Run 5: Wavelength (nm)","Run 5: Intensity (rel)"
417.4,0.811101434348,417.4,0.804677042802,417.4,0.80697020676,417.4,0.806057145037,417.4,0.806265583276,417.4,0.808441138323
418.1,0.804466811627,418.1,0.79816754406,418.1,0.802970817121,418.1,0.802751277943,418.1,0.80313214313,418.1,0.806197299153
418.7,0.807388914321,418.7,0.801604638743,418.7,0.802887655451,418.7,0.804641870756,418.7,0.804342183566,418.7,0.806429236286
419.4,0.803112573434,419.4,0.795966430152,419.4,0.798340466926,419.4,0.797708934157,419.4,0.798072251469,419.4,0.799236896315
420.1,0.856200999466,420.1,0.851976195926,420.1,0.852978446632,420.1,0.855287327382,420.1,0.852507286183,420.1,0.855590753033
420.7,0.844338635843,420.7,0.837361104753,420.7,0.840415693904,420.7,0.838749599451,420.7,0.839962844282,420.7,0.843779507134
421.4,0.803706149386,421.4,0.797927977417,421.4,0.800415693904,421.4,0.80134821088,421.4,0.799682078279,421.4,0.801280842298
422.1,0.760423170825,422.1,0.75503105211,422.1,0.758839436942,422.1,0.75794773785,422.1,0.758383535515,422.1,0.757940642405
422.7,0.804980277714,422.7,0.797817349508,422.7,0.800466048676,422.7,0.800911039902,422.7,0.802628595407,422.7,0.804056458381
423.4,0.80698455024,423.4,0.799795681697,423.4,0.805524414435,423.4,0.806306630045,423.4,0.803328221561,423.4,0.805048294804
424.1,0.796728198672,424.1,0.789799496452,424.1,0.791449492638,424.1,0.790764553292,424.1,0.790722743572,424.1,0.794148775463
424.7,0.783001182574,424.7,0.779165484092,424.7,0.783323300526,424.7,0.781198672465,424.7,0.780583123522,424.7,0.783851224537
425.4,0.779266536965,425.4,0.77131013962,425.4,0.77395960174,425.4,0.773827038987,425.4,0.773904249638,425.4,0.777294422827
426.1,0.767897802701,426.1,0.762744487678,426.1,0.766834401465,426.1,0.764378652628,426.1,0.764151445792,426.1,0.766813000687
426.7,0.727552185855,426.7,0.720502937362,426.7,0.724655413138,426.7,0.723804913405,426.7,0.724416952773,426.7,0.72549156939
427.4,0.754475967041,427.4,0.744984512093,427.4,0.749572632944,427.4,0.750277790494,427.4,0.74757862211,427.4,0.750910811017
428.1,0.698884298466,428.1,0.692774242771,428.1,0.699427672236,428.1,0.697998092622,428.1,0.69765491722,428.1,0.699558098726
428.7,0.647174525063,428.7,0.640294651713,428.7,0.643964942397,428.7,0.644610589761,428.7,0.642614099336,428.7,0.647244831006
429.4,0.557775730526,429.4,0.550636453803,429.4,0.55428080415,429.4,0.555120241093,429.4,0.555218814374,429.4,0.554516517891
430.1,0.578968223087,430.1,0.574964675364,430.1,0.578285534447,430.1,0.577727244984,430.1,0.576508201724,430.1,0.578979018845
430.7,0.720826771954,430.7,0.713145037003,430.7,0.716069161517,430.7,0.71672091249,430.7,0.717931868467,430.7,0.720709391928
431.4,0.798798847944,431.4,0.792676585031,431.4,0.797678988327,431.4,0.79605943389,431.4,0.797177309834,431.4,0.79700373846
432.1,0.75755600061,432.1,0.750470893416,432.1,0.753330930037,432.1,0.750670710307,432.1,0.752253986419,432.1,0.753638361181
432.7,0.782499160754,432.7,0.776714885176,432.7,0.779381132219,432.7,0.780399862669,432.7,0.778449912261,432.7,0.783506370642
